Sensor Index,Sensor ID,Time Since PowerOn,Real time clock,temperature,pressure,humidity,gas_resistance,Heater Profile Step Index,Scanning Mode Enabled,Scanning Cycle Index,Label Tag,Error Code,label
0,480007249,4551,1722344704,26.003448,968.145264,34.951469,5684.846191,0,1,1,0,0,normal
1,479990353,4556,1722344704,26.0914,968.479187,35.486801,5684.846191,0,1,1,0,0,normal
2,480026197,4561,1722344704,25.892298,968.17511,34.900684,5684.846191,0,1,1,0,0,normal
3,479999824,4565,1722344704,26.042248,968.384949,34.69817,5684.846191,0,1,1,0,0,normal
4,479999071,4569,1722344704,26.142984,968.262451,35.342598,5684.846191,0,1,1,0,0,normal
5,480020830,4574,1722344704,26.11935,968.696411,35.717953,5684.846191,0,1,1,0,0,normal
6,480008288,4578,1722344704,26.074976,968.90625,35.623558,5684.846191,0,1,1,0,0,normal
7,480006511,4582,1722344704,26.153509,968.545105,35.309361,5684.846191,0,1,1,0,0,normal
0,480007249,4831,1722344704,25.893078,968.176636,34.895046,28533.214844,1,1,1,0,0,normal
1,479990353,4836,1722344704,25.985935,968.505005,35.379036,30534.351562,1,1,1,0,0,normal
2,480026197,4840,1722344704,25.835028,968.193481,34.81517,32048.072266,1,1,1,0,0,normal
3,479999824,4845,1722344704,25.987955,968.413635,34.613049,13256.006836,1,1,1,0,0,normal
4,479999071,4849,1722344704,26.023148,968.269043,35.238907,17582.417969,1,1,1,0,0,normal
5,480020830,4853,1722344704,25.993845,968.746948,35.619648,9818.962891,1,1,1,0,0,normal
6,480008288,4858,1722344704,25.865921,968.895691,35.505215,6644.518066,1,1,1,0,0,normal
7,480006511,4862,1722344704,26.007971,968.599304,35.22049,5901.881348,1,1,1,0,0,normal
0,480007249,6231,1722344706,26.231714,968.202332,34.374241,29018.363281,2,1,1,0,0,normal
1,479990353,6235,1722344706,26.36762,968.54248,34.821537,31250.0,2,1,1,0,0,normal
2,480026197,6240,1722344706,26.245876,968.242065,34.284466,32586.558594,2,1,1,0,0,normal
3,479999824,6244,1722344706,26.456858,968.422607,34.076981,13322.231445,2,1,1,0,0,normal
4,479999071,6249,1722344706,26.539942,968.321045,34.658176,17817.371094,2,1,1,0,0,normal
5,480020830,6253,1722344706,26.470255,968.746704,35.060421,9993.753906,2,1,1,0,0,normal
6,480008288,6258,1722344706,26.286545,968.947815,34.932259,6652.806641,2,1,1,0,0,normal
7,480006511,6262,1722344706,26.410049,968.615295,34.766697,6011.647461,2,1,1,0,0,normal
0,480007249,10431,1722344710,26.703299,968.217529,32.797134,29257.142578,3,1,1,0,0,normal
1,479990353,10435,1722344710,26.907507,968.507812,32.914455,31785.447266,3,1,1,0,0,normal
2,480026197,10440,1722344710,26.798664,968.175354,32.439598,33169.214844,3,1,1,0,0,normal
3,479999824,10445,1722344710,27.046686,968.425049,32.130436,13363.958984,3,1,1,0,0,normal
4,479999071,10449,1722344710,27.149115,968.275269,32.581524,17862.126953,3,1,1,0,0,normal
5,480020830,10453,1722344710,27.043995,968.773804,33.106487,10116.977539,3,1,1,0,0,normal
6,480008288,10458,1722344710,26.817997,968.961792,33.045887,6644.518066,3,1,1,0,0,normal
7,480006511,10462,1722344710,26.95274,968.616089,32.990486,6115.039062,3,1,1,0,0,normal
0,480007249,11131,1722344710,27.225056,968.179016,32.642342,8856.905273,4,1,1,0,0,normal
1,479990353,11136,1722344710,27.472507,968.513672,32.730019,10474.631836,4,1,1,0,0,normal
2,480026197,11140,1722344710,27.334024,968.21521,32.122959,11355.571289,4,1,1,0,0,normal
3,479999824,11144,1722344710,27.584696,968.431091,31.904186,5684.846191,4,1,1,0,0,normal
4,479999071,11149,1722344710,27.715851,968.293823,32.36813,6321.611816,4,1,1,0,0,normal
5,480020830,11153,1722344710,27.594687,968.794067,32.881668,5684.846191,4,1,1,0,0,normal
6,480008288,11158,1722344710,27.414938,968.975159,32.824062,5684.846191,4,1,1,0,0,normal
7,480006511,11162,1722344710,27.539835,968.684998,32.790405,5684.846191,4,1,1,0,0,normal
1,479990353,11695,1722344711,27.851688,968.525513,32.562202,10547.132812,5,1,1,0,0,normal
2,480026197,11700,1722344711,27.715,968.237244,31.921682,11428.571289,5,1,1,0,0,normal
0,480007249,11831,1722344711,27.586269,968.162476,32.303665,8864.265625,5,1,1,0,0,normal
3,479999824,11844,1722344711,27.967228,968.438904,31.65266,5684.846191,5,1,1,0,0,normal
4,479999071,11849,1722344711,28.112818,968.320618,32.077049,6370.694824,5,1,1,0,0,normal
5,480020830,11853,1722344711,27.960964,968.815063,32.589043,5684.846191,5,1,1,0,0,normal
6,480008288,11858,1722344711,27.782675,968.933472,32.592304,5684.846191,5,1,1,0,0,normal
7,480006511,11862,1722344711,27.890118,968.64917,32.551376,5684.846191,5,1,1,0,0,normal
1,479990353,12395,1722344712,28.035,968.533508,32.16798,10536.713867,6,1,1,0,0,normal
2,480026197,12400,1722344712,27.909225,968.213745,31.641788,11527.37793,6,1,1,0,0,normal
0,480007249,12531,1722344712,27.754337,968.17926,32.195244,8923.591797,6,1,1,0,0,normal
3,479999824,12544,1722344712,28.154791,968.452637,31.523813,5684.846191,6,1,1,0,0,normal
4,479999071,12549,1722344712,28.310053,968.34375,31.767965,6382.129883,6,1,1,0,0,normal
5,480020830,12553,1722344712,28.137699,968.787231,32.369125,5684.846191,6,1,1,0,0,normal
6,480008288,12558,1722344712,27.961508,968.972351,32.281094,5684.846191,6,1,1,0,0,normal
7,480006511,12562,1722344712,28.065262,968.66803,32.239853,5684.846191,6,1,1,0,0,normal
1,479990353,13095,1722344712,28.36647,968.545593,31.894808,5684.846191,7,1,1,0,0,normal
2,480026197,13100,1722344712,28.185623,968.22406,31.369661,5684.846191,7,1,1,0,0,normal
0,480007249,13231,1722344713,28.030268,968.198669,31.961727,5684.846191,7,1,1,0,0,normal
3,479999824,13244,1722344713,28.431202,968.460693,31.083851,5684.846191,7,1,1,0,0,normal
4,479999071,13249,1722344713,28.597168,968.324341,31.310022,5684.846191,7,1,1,0,0,normal
5,480020830,13253,1722344713,28.447626,968.811646,32.049355,5684.846191,7,1,1,0,0,normal
6,480008288,13258,1722344713,28.271317,968.949951,32.016197,5684.846191,7,1,1,0,0,normal
7,480006511,13262,1722344713,28.371145,968.643494,31.991531,5684.846191,7,1,1,0,0,normal
1,479990353,13795,1722344713,28.758209,968.57782,31.644211,5684.846191,8,1,1,0,0,normal
2,480026197,13800,1722344713,28.564114,968.191467,31.10697,5684.846191,8,1,1,0,0,normal
0,480007249,13931,1722344713,28.411556,968.232117,31.760485,5684.846191,8,1,1,0,0,normal
3,479999824,13944,1722344713,28.828543,968.43042,30.783985,5684.846191,8,1,1,0,0,normal
4,479999071,13949,1722344713,29.024097,968.338501,31.095688,5684.846191,8,1,1,0,0,normal
5,480020830,13953,1722344713,28.854889,968.788025,31.778139,5684.846191,8,1,1,0,0,normal
6,480008288,13958,1722344713,28.661724,968.991638,31.736372,5684.846191,8,1,1,0,0,normal
7,480006511,13962,1722344713,28.760904,968.660706,31.706009,5684.846191,8,1,1,0,0,normal
1,479990353,14506,1722344714,28.964123,968.557861,31.298439,5684.846191,9,1,1,0,0,normal
2,480026197,14521,1722344714,28.768301,968.192322,30.784197,6104.540039,9,1,1,0,0,normal
3,479999824,14537,1722344714,29.050663,968.440979,30.468842,5684.846191,9,1,1,0,0,normal
4,479999071,14552,1722344714,29.23382,968.344299,30.833885,5684.846191,9,1,1,0,0,normal
5,480020830,14567,1722344714,29.062363,968.810364,31.483292,5684.846191,9,1,1,0,0,normal
6,480008288,14582,1722344714,28.87582,968.990784,31.435108,5684.846191,9,1,1,0,0,normal
7,480006511,14597,1722344714,28.960718,968.686707,31.397839,5684.846191,9,1,1,0,0,normal
0,480007249,14673,1722344714,28.582132,968.229248,31.489632,5684.846191,9,1,1,0,0,normal
1,479990353,15301,1722344715,29.084661,968.52832,30.917637,5684.846191,0,1,1,0,0,normal
2,480026197,15306,1722344715,28.900278,968.191223,30.399794,6522.625488,0,1,1,0,0,normal
3,479999824,15449,1722344715,29.23823,968.450378,30.095461,5684.846191,0,1,1,0,0,normal
4,479999071,15454,1722344715,29.411083,968.319092,30.423933,5684.846191,0,1,1,0,0,normal
5,480020830,15458,1722344715,29.236538,968.804688,31.090839,5684.846191,0,1,1,0,0,normal
6,480008288,15462,1722344715,29.034506,969.000916,31.039476,5684.846191,0,1,1,0,0,normal
7,480006511,15467,1722344715,29.125996,968.699036,31.008448,5684.846191,0,1,1,0,0,normal
0,480007249,15516,1722344715,28.762745,968.243958,31.102434,5684.846191,0,1,1,0,0,normal
1,479990353,15581,1722344715,28.650229,968.569214,30.722519,38254.632812,1,1,1,0,0,normal
2,480026197,15586,1722344715,28.526764,968.267456,30.216629,44336.683594,1,1,1,0,0,normal
3,479999824,15730,1722344715,28.828543,968.465515,30.154095,20806.242188,1,1,1,0,0,normal
4,479999071,15735,1722344715,28.964178,968.36084,30.233564,25256.511719,1,1,1,0,0,normal
5,480020830,15739,1722344715,28.788294,968.802307,30.905491,11691.632812,1,1,1,0,0,normal
6,480008288,15744,1722344715,28.543344,969.00061,30.844212,9420.076172,1,1,1,0,0,normal
7,480006511,15748,1722344715,28.652363,968.682373,30.825941,6792.612793,1,1,1,0,0,normal
0,480007249,15796,1722344715,28.341318,968.271362,30.941633,46664.234375,1,1,1,0,0,normal
1,479990353,16981,1722344716,27.83913,968.528198,30.15061,38882.136719,2,1,1,0,0,normal
2,480026197,16985,1722344716,27.742392,968.216919,29.671564,45038.707031,2,1,1,0,0,normal
3,479999824,17130,1722344716,28.023991,968.430847,29.325319,20846.90625,2,1,1,0,0,normal
4,479999071,17134,1722344716,28.110321,968.30957,29.630459,25361.601562,2,1,1,0,0,normal
5,480020830,17139,1722344716,27.978893,968.798645,30.327982,12146.517578,2,1,1,0,0,normal
6,480008288,17143,1722344716,27.722225,968.984253,30.269436,9411.764648,2,1,1,0,0,normal
7,480006511,17148,1722344716,27.877787,968.674805,30.232912,6880.240723,2,1,1,0,0,normal
0,480007249,17196,1722344717,27.578745,968.164673,30.478359,47796.863281,2,1,1,0,0,normal
1,479990353,21181,1722344721,27.821554,968.544128,29.545807,39751.554688,3,1,1,0,0,normal
2,480026197,21186,1722344721,27.734921,968.248596,28.997578,45911.046875,3,1,1,0,0,normal
3,479999824,21190,1722344721,27.954885,968.440674,28.641985,20725.388672,3,1,1,0,0,normal
5,480020830,21198,1722344721,27.922543,968.802612,29.637348,12350.443359,3,1,1,0,0,normal
7,480006511,21207,1722344721,27.862986,968.659668,29.410173,7006.787598,3,1,1,0,0,normal
4,479999071,21334,1722344721,28.030426,968.306091,28.926031,25241.570312,3,1,1,0,0,normal
6,480008288,21343,1722344721,27.681925,968.966492,29.577425,9420.076172,3,1,1,0,0,normal
0,480007249,21396,1722344721,27.643963,968.183167,29.928867,48120.300781,3,1,1,0,0,normal
1,479990353,21881,1722344721,28.512115,968.542419,29.439215,13198.597656,4,1,1,0,0,normal
2,480026197,21886,1722344721,28.38732,968.238586,29.014057,15421.686523,4,1,1,0,0,normal
3,479999824,21890,1722344721,28.594086,968.431946,28.640451,6858.122559,4,1,1,0,0,normal
